QA_id,questionA,questionB
0,GPT,Human
1,Human,GPT
2,Human,GPT
3,GPT,Human
4,GPT,Human
5,GPT,Human
6,Human,GPT
7,GPT,Human
8,GPT,Human
9,Human,GPT
10,GPT,Human
11,GPT,Human
12,Human,GPT
13,Human,GPT
14,Human,GPT
15,GPT,Human
16,Human,GPT
17,Human,GPT
18,GPT,Human
19,GPT,Human
20,Human,GPT
21,Human,GPT
22,GPT,Human
23,Human,GPT
24,GPT,Human
25,Human,GPT
26,GPT,Human
27,GPT,Human
28,GPT,Human
29,GPT,Human
30,Human,GPT
31,GPT,Human
32,Human,GPT
33,GPT,Human
35,Human,GPT
36,GPT,Human
37,GPT,Human
38,Human,GPT
39,Human,GPT
40,GPT,Human
41,GPT,Human
42,GPT,Human
43,Human,GPT
44,GPT,Human
45,Human,GPT
46,GPT,Human
47,Human,GPT
48,GPT,Human
49,GPT,Human
50,Human,GPT
51,Human,GPT
52,Human,GPT
53,GPT,Human
54,GPT,Human
55,Human,GPT
56,GPT,Human
57,Human,GPT
58,Human,GPT
59,GPT,Human
60,GPT,Human
61,Human,GPT
62,GPT,Human
63,Human,GPT
64,GPT,Human
65,GPT,Human
66,GPT,Human
67,Human,GPT
69,GPT,Human
70,GPT,Human
71,Human,GPT
72,Human,GPT
73,Human,GPT
74,Human,GPT
75,GPT,Human
76,GPT,Human
77,Human,GPT
78,Human,GPT
79,GPT,Human
80,Human,GPT
81,Human,GPT
82,GPT,Human
83,Human,GPT
84,GPT,Human
85,GPT,Human
86,Human,GPT
87,GPT,Human
88,GPT,Human
89,GPT,Human
90,Human,GPT
91,GPT,Human
92,GPT,Human
93,GPT,Human
94,Human,GPT
95,Human,GPT
96,Human,GPT
98,GPT,Human
99,GPT,Human
100,Human,Human
101,GPT,Human
102,Human,GPT
105,Human,GPT
106,Human,GPT
107,Human,GPT
108,GPT,Human
109,GPT,Human
111,Human,GPT
112,GPT,Human
113,GPT,Human
114,GPT,Human
115,GPT,Human
116,Human,GPT
117,GPT,Human
118,GPT,Human
119,GPT,Human
120,Human,GPT
121,GPT,Human
122,GPT,Human
123,Human,GPT
124,Human,GPT
125,GPT,Human
