QA_id,content,questionA,questionB
0,"# Contributing to BayBE
## Writing classes
### Method overrides

When overriding methods in subclasses, decorate them with `@typing_extensions.override`
to make the relationship explicit:

```python
from typing_extensions import override

class Parent:

   def le_method():
      """"""The method of the parent class.""""""
      ...

class Child:

   @override
   def le_method():
      """"""Overridden method of the child class.""""""
      ...
```

Using the decorator provides a type-safe approach for defining inheritance structures
that eliminates two potential sources of unintended class design:

* An intended override is does not occur because the method names differ between
  the parent and child classes (e.g. if the parent method is renamed)
* An unintended override occurs because a method name that exists in the parent class
  is used in the child class by mistake.
  In both cases, `mypy` will complain and force you to fix the problem.",What decorator should you use when overriding methods in subclasses in BayBE to make the relationship explicit?,Mypy does not accept my definition of a function for a child class. What went wrong?
1,"# Contributing to BayBE

**All contributions to BayBE are welcome!**

... no matter if bug fixes, new features, or just typo corrections.

To shorten the overall development and review process, this page contains are a
few sections that can make your life easier.

## General Workflow

To implement your contributions in a local development environment,
we recommend the following workflow:

1. Clone a [fork](https://github.com/emdgroup/BayBE/fork) of the repository to
   your local machine.
2. Create and activate a virtual python environment using one of the supported
   python versions.
3. Change into the root folder of the cloned repository and install an editable version
   including all development dependencies:
   ```console
   pip install -e '.[dev]'
   ```
4. Run our tests to verify everything works as expected:
   ```console
   pytest
   ```
5. Install our [pre-commit](https://pre-commit.com/) hooks:
   ```console
   pre-commit install
   ```
6. Create a new branch for your contribution:
   ```console
   git checkout -b <your_branch_name>
   ```
7. **Implement your changes.**
8. Optional but recommended to prevent complaints from our CI pipeline:
   **Test your code.**

   There are several test environments you can run via `tox`, each corresponding to a
   [developer tool]() in a certain Python version.
   You can retrieve all available environments via `tox list`.
   For more information, see our [README about tests](https://github.com/emdgroup/baybe/blob/main/tests/README.md).

   For instance, running all code tests in Python 3.12 can be achieved via:
   ```console
   tox -e fulltest-py312
   ```

   Other tox tests that are useful to verify your work locally are `tox -e lint-py312`,
   `tox -e mypy-py312` and `tox -e coretest-py312`.

   If you want to challenge your machine, you can run all checks in all Python versions
   in parallel via:
   ```console
   tox -p
   ```

   This can be considered the ultimate one-stop check to make sure your code is ready
   for merge.
9. Push the updated branch back to your fork:
   ```console
   git push origin
   ```
10. Open a pull request via Githubâs web page.",Can I make changes to improve the BayBE repo?,How can I run all code tests for BayBE in Python 3.12?
2,"# Contributing to BayBE
## Synchronizing Pull Requests

A common situation encountered when submitting a pull request (PR) is that the upstream
branch has evolved since the moment your PR branch was created, and a synchronization
is needed in order to prepare your branch for a merge (e.g., to remove existing
conflicts).

Because we care about our Git history and would like to keep it clean and
easy to follow, we generally recommend **rebasing** your branch onto the latest
upstream commit in such situations, especially if your changes are orthogonal to what
has happened on the remote branch in the meantime. Compared to merging, this has the
advantage of keeping the history of your commits (and thus of the entire repository)
linear, and your own PR free of changes that happened remotely, which also
greatly simplifies the review process (e.g., it produces simpler diffs).

That said, the above is only a recommendation and by no means a requirement. However,
depending on the complexity of your PR commit history, we reserve the right to merge
your branch using a squash-rebase as a last resort to keep our history clean.
By following the guideline above, this step can be easily avoided in most cases.

<a id=""developer-tools""></a>",How should I prepare my pull request?,What is the recommended method for synchronizing a BayBE pull request branch with the latest upstream changes to keep the Git history clean?
3,"# Contributing to BayBE
## Developer Tools

In order to maintain a high code quality, we use a variety of code developer tools.
When following the above described workflow, [pre-commit](https://pre-commit.com/)
will automatically trigger (most) necessary checks during your development process.
In any case, these checks are also conducted in our CI pipeline, which must pass
before your pull request is considered ready for review.
If you have questions or problems, simply ask for advice.

| Tool                                                                                            | Purpose                                   |
|-------------------------------------------------------------------------------------------------|-------------------------------------------|
| [ruff](https://docs.astral.sh/ruff/)                                                            | code linting and formatting               |
| [mypy](https://mypy.readthedocs.io/)                                                            | static type checking                      |
| [pydocstyle](http://www.pydocstyle.org/)   <br/> [pydoclint](https://github.com/jsh9/pydoclint) | analyzing docstrings                      |
| [typos](https://github.com/crate-ci/typos)                                                      | basic spell checking                      |
| [pytest](https://docs.pytest.org/)                                                              | testing                                   |
| [pytest-cov](https://pytest-cov.readthedocs.io/)                                                | measuring test coverage                   |
| [sphinx](https://www.sphinx-doc.org/)                                                           | generating our documentation              |
| [pip-audit](https://github.com/pypa/pip-audit)                                                  | detecting vulnerabilities in dependencies |
| [tox](https://tox.wiki/)                                                                        | orchestrating all the above               |

Executing a specific one of these tools is easiest by using the corresponding
[tox](https://tox.wiki/) environment,

```console
tox -e <env>
```

where `<env>` is any of the environment names found via `tox list`.

<a id=""code-design""></a>",What tool does BayBE use to detect vulnerabilities in dependencies?,Do I have to install sphinx separately?
4,"# Contributing to BayBE
## Code Design

When reading BayBEâs code, you will notice certain re-occurring design patterns.
These patterns are by no means enforced, but following them can streamline your
own development process:

* We build most our classes with [attrs](https://www.attrs.org/), which is useful
  for lean class design and attribute validation.
* Our (de-)serialization machinery is built upon [cattrs](https://catt.rs/), separating
  object serialization from class design.
* The modular nature of BayBEâs components is reflected in our test suite through
  the use of [hypothesis](https://hypothesis.readthedocs.io/) property tests.",What library does BayBE use for property-based testing in its test suite?,What are the attrs and cattrs libraries used for?
5,"# Contributing to BayBE
## Extending BayBEâs Functionality

For most parts, BayBEâs code and functional components are organized into different
subpackages.
When extending its functionality (for instance, by adding new component subclasses),
make sure that the newly written code is well integrated into the existing package and
module hierarchy.
In particular, public functionality should be imported into the appropriate high-level
namespaces for easier user import. For an example, see our
[parameter namespace](https://github.com/emdgroup/baybe/blob/main/baybe/parameters/__init__.py).",Where should new public functionality be imported when extending BayBEâs functionality?,What are supported parameter types in BayBE and what are their names?
6,"# Contributing to BayBE
## Writing Docstrings

Our docstrings generally follow the
[Google Python Style Guide](https://google.github.io/styleguide/pyguide.html).
Basic style and consistency checks are automatically performed via
[pre-commit](https://pre-commit.com/) during development and in our CI pipeline.

Apart from that, we generally recommend adhering to the following guideline:

- Each function should have a docstring containing:
  * a short one-line summary at the top,
  * an optional extended summary or description below and
  * all relevant sections (`Args`, `Raises`, ...).
- Use type hints (for variables/constants, attributes, function/method signatures, ...).
  Avoid repeating type hints in docstrings.
- When referencing objects (classes, functions, ...),
  use `:<key>:`path.to.function` ` where `<key>` is to be replaced with the
  respective [role](https://www.sphinx-doc.org/en/master/usage/domains/python.html#cross-referencing-python-objects)
  (`class`, `func`, ...)
- Use double backticks for literals like in ```MyString```.",What is the rule to write docstrings?,What style guide do BayBE docstrings generally follow?
7,"# Contributing to BayBE
## Writing classes
### Conventions for `attrs` classes

- Place attribute docstrings below the attribute declaration, not in the class
  docstring.
  Separate different attributes using a blank line.
  For example:
  ```python
  @define
  class Cookies:
    """"""A delicious recipe for chocolate-banana cookies.""""""

    chocolate: float
    """"""Chocolate is naturally measured in terms of floats.""""""

    bananas: int
    """"""For bananas, we use integers, of course.""""""
  ```
- Unless another more specific name is suitable, use our default naming convention for
  `attrs` defaults and validators:
  ```python
  @my_attribute.default
  def _default_my_attribute(self): ...

  @my_attribute.validator
  def _validate_my_attribute(self, attribute, value): ...
  ```

  A one-line docstring suffices for these methods, but they should have a `Raises:`
  section if applicable. Linter warnings regarding missing attribute docstrings can be
  silenced using `# noqa: DOC101, DOC103`.",Where should attribute docstrings be placed when writing `attrs` classes in BayBE?,What is the docstring convention in BayBE?
8,"# FAQ
### Do I need to create a campaign to get recommendations?

No, creating a campaign is not mandatory.
BayBE offers two entry points for generating recommendations:

* a stateful [`Campaign.recommend`]() method and
* a stateless [`RecommenderProtocol.recommend`]() method.

",Is it necessary to create a campaign to get recommendations in BayBE?,Do I need to create a campaign to get recommendations?
9,"# FAQ
### BayBE recommends A but experimentalists do B. What now?

Donât panic and grab your towel. Recommendations from BayBE are just ... well,
ârecommendationsâ. The measurements you feed back to BayBE need not to be related to
the original recommendation in any way. In fact, requesting recommendations and adding
data are two separate actions, and there is no formal requirement to perform these
actions in any particular order nor to ârespondâ to recommendations in any form.

Note, however, that subsequent recommendations **may** be affected by earlier steps in
your campaign, depending on your settings for the
`allow_recommending_already_measured` and
`allow_recommending_already_recommended` flags.","BayBE recommends A, but experimentalists do B. What now?",Do I have to follow BayBE's recommendations exactly when running my experiments?
